#Redshift Merger_Rate_Density[Gpc^-3yr^-1]
4.008016032064176670e-02 1.133475720766906770e-05
1.202404809619253001e-01 0.000000000000000000e+00
2.004008016032088335e-01 0.000000000000000000e+00
2.805611222444923669e-01 0.000000000000000000e+00
3.607214428857759003e-01 0.000000000000000000e+00
4.408817635270558810e-01 0.000000000000000000e+00
5.210420841683358617e-01 0.000000000000000000e+00
6.012024048096193951e-01 1.480757038005204258e-07
6.813627254509029285e-01 1.670644779617645686e-06
7.615230460921864619e-01 1.060608478989391343e-05
8.416833667334699953e-01 2.261797616456250997e-05
9.218436873747535287e-01 1.835724707729961775e-06
1.002004008016033509e+00 6.272317104400495245e-06
1.082164328657313490e+00 3.891370121271657247e-05
1.162324649298597024e+00 1.381246454794304215e-05
1.242484969939880557e+00 4.408561392032203842e-05
1.322645290581164090e+00 1.280340121678319997e-05
1.402805611222447624e+00 4.373891550268939874e-05
1.482965931863731157e+00 2.660501603605440276e-06
1.563126252505011138e+00 1.662442867201964339e-06
1.643286573146291119e+00 3.836833045467635628e-06
1.723446893787574652e+00 7.115385125904081280e-06
1.803607214428858185e+00 1.497465094601626610e-05
1.883767535070141719e+00 4.254096153331287354e-05
1.963927855711425252e+00 5.283319924716863708e-05
2.044088176352708786e+00 1.993266815021263539e-05
2.124248496993992319e+00 4.326463761360173295e-05
2.204408817635272300e+00 8.125357271065456529e-05
2.284569138276552280e+00 7.938788693406161273e-05
2.364729458917835814e+00 8.051801405191843272e-05
2.444889779559119347e+00 6.501415832995286544e-05
2.525050100200402881e+00 5.893734486103388960e-05
2.605210420841686414e+00 4.424381958213368288e-05
2.685370741482969947e+00 5.972363269846032519e-05
2.765531062124249928e+00 5.055765611679785939e-05
2.845691382765529909e+00 2.147829772286511947e-05
2.925851703406813442e+00 2.375454051371496278e-05
3.006012024048096976e+00 3.409906358780801302e-05
3.086172344689380509e+00 5.884634552405314088e-05
3.166332665330664042e+00 8.109324298849179943e-05
3.246492985971947576e+00 1.141686093714263338e-04
3.326653306613227556e+00 1.231081650886491324e-04
3.406813627254507537e+00 1.041449119018319840e-04
3.486973947895791071e+00 8.693751444706679897e-05
3.567134268537074604e+00 6.997078526808856033e-05
3.647294589178358137e+00 6.911159904133571069e-05
3.727454909819641671e+00 9.515649670150179591e-05
3.807615230460925204e+00 1.160502314645996049e-04
3.887775551102208738e+00 1.435381650231994989e-04
3.967935871743488718e+00 1.712195852340033908e-04
4.048096192384768699e+00 1.896399263805701460e-04
4.128256513026052232e+00 1.987150899347411837e-04
4.208416833667335766e+00 2.148056277541029460e-04
4.288577154308619299e+00 2.356496286617805306e-04
4.368737474949902833e+00 2.787136795810493521e-04
4.448897795591186366e+00 1.042072363748028363e-02
4.529058116232466347e+00 1.078461678897741499e-02
4.609218436873746327e+00 1.142147841293461412e-02
4.689378757515029861e+00 1.246518523965436422e-02
4.769539078156313394e+00 1.333461836621196474e-02
4.849699398797596928e+00 1.417766861935768931e-02
4.929859719438880461e+00 1.503484691584522186e-02
5.010020040080163994e+00 1.571913319424401642e-02
5.090180360721443975e+00 1.620616442565753212e-02
5.170340681362723956e+00 1.733932964521798722e-02
5.250501002004007489e+00 1.866512966639448379e-02
5.330661322645291023e+00 1.990174778019176624e-02
5.410821643286574556e+00 2.123752564910488805e-02
5.490981963927858089e+00 2.198310458321999297e-02
5.571142284569141623e+00 2.379553210508836281e-02
5.651302605210425156e+00 2.743528592398978422e-02
5.731462925851705137e+00 2.831454384795760795e-02
5.811623246492985118e+00 2.685794130095937524e-02
5.891783567134268651e+00 2.787910238417334874e-02
5.971943887775552184e+00 3.008340360141794484e-02
6.052104208416835718e+00 3.162205413587327457e-02
6.132264529058119251e+00 3.383665476550379303e-02
6.212424849699402785e+00 3.773208912164918716e-02
6.292585170340682765e+00 4.135076117025181242e-02
6.372745490981962746e+00 4.092640721193330222e-02
6.452905811623246279e+00 3.956109857154611192e-02
6.533066132264529813e+00 4.034672349083969628e-02
6.613226452905813346e+00 4.187582168044657466e-02
6.693386773547096880e+00 4.498476866523598572e-02
6.773547094188380413e+00 4.877926767731161073e-02
6.853707414829660394e+00 5.244369710513484967e-02
6.933867735470940374e+00 5.466059133662734548e-02
7.014028056112223908e+00 5.585305084903254697e-02
7.094188376753507441e+00 5.581336678181780114e-02
7.174348697394790975e+00 5.728681580876997248e-02
7.254509018036074508e+00 6.063194221500763093e-02
7.334669338677358041e+00 6.403028658186388222e-02
7.414829659318641575e+00 6.584293121266336646e-02
7.494989979959921556e+00 6.617481207658336417e-02
7.575150300601201536e+00 6.548380563274966426e-02
7.655310621242485070e+00 6.401981739798186244e-02
7.735470941883768603e+00 6.457380345283673939e-02
7.815631262525052136e+00 6.779276974544574952e-02
7.895791583166335670e+00 7.186245133246516037e-02
7.975951903807617427e+00 7.734257364540744750e-02
8.056112224448899184e+00 8.281966065239836083e-02
8.136272545090182717e+00 8.696645241687656069e-02
8.216432865731464474e+00 8.716147581849885417e-02
8.296593186372746231e+00 8.866045086861218394e-02
8.376753507014029765e+00 9.330591480119426739e-02
8.456913827655311522e+00 9.995140042347654130e-02
8.537074148296593279e+00 1.061068399425841996e-01
8.617234468937876812e+00 1.105549456425239663e-01
8.697394789579160346e+00 1.131990652905139755e-01
8.777555110220442103e+00 1.133720542897406897e-01
8.857715430861723860e+00 1.126421031752612018e-01
8.937875751503007393e+00 1.127236331577762263e-01
9.018036072144290927e+00 1.156288978481473106e-01
