FLUX_BATSE_64,T90,FLUENCE_BATSE,PFLX_COMP_EPEAK,TRIGGER_TIME
2.6739,0.768,2.1278e-07,0.0,59653.101352718
1.622,0.896,5.5905e-08,0.0,60082.951013993
3.5757,0.32,1.0083e-07,450.2773,57093.403306779
3.3492,0.32,5.3748e-08,0.0,60966.723433849
3.0041,0.832,7.1503e-08,1004.254,60302.867546229
9.2584,0.832,3.6184e-07,928.2537,60328.728561161
0.6532,0.512,2.254e-08,2385.238,59682.167416428
3.0264,0.576,1.5498e-07,367.4395,55516.480865012
3.9051,1.024,1.4484e-07,0.0,60876.789702561
4.8091,1.056,1.1226e-07,0.0,60753.213529067
2.5592,0.704,1.8586e-07,377.082,56795.708835935
3.0352,1.6,1.4855e-07,0.0,59476.652684692
22.8823,0.96,8.1016e-07,531.6207,56508.023096377
2.8964,0.832,1.7149e-07,703.928,56247.458618061
9.4294,0.064,2.1314e-07,332.119,55604.550387994
3.0307,0.576,5.3038e-08,368.4794,55698.453187609
7.8867,0.16,1.3465e-07,98.40894,57816.003079519
46.9079,0.112,8.78e-07,1073.204,59210.634808039
1.8961,1.216,6.1576e-08,0.0,60729.691803323
1.4553,1.728,1.7702e-07,0.0,58450.128771385
3.6654,0.128,1.1045e-07,0.0,59120.290266208
2.543,1.856,3.8174e-07,2749.837,54851.626652308
2.4984,0.512,1.2367e-07,95.2408,55101.421727009
6.2925,0.512,1.847e-07,0.0,56824.164642744
22.6936,0.192,1.2439e-06,1168.434,60134.735032693
0.6672,0.128,1.3141e-08,0.0,57713.185848375
4.4379,0.416,1.2435e-07,0.0,60049.473598778
2.4574,0.896,2.2167e-07,58.13097,58326.594083492
14.9314,0.16,4.0691e-07,431.9586,59790.658970279
0.745,0.768,2.1638e-08,0.0,56667.411160529
3.3179,0.832,2.0741e-07,302.2981,54826.044184332
2.6086,0.096,6.3946e-08,0.0,58610.7120016
7.1349,0.048,1.4788e-07,0.0,59233.120946988
1.7391,1.6,1.2913e-07,0.0,61042.883372376
2.0187,1.6,2.0705e-07,565.9553,55396.311315081
4.1064,0.192,1.3587e-07,478.2112,55062.607262364
3.4138,0.768,2.1901e-07,0.0,60148.193558643
2.9797,1.472,3.9923e-07,163.1491,58593.980844515
3.4602,0.064,1.6023e-08,40.64228,58320.642452938
3.0745,0.64,1.5831e-07,216.4151,57201.766634151
3.859,0.832,2.2236e-07,192.3344,57992.818107231
6.4828,0.384,3.0536e-07,0.0,56081.439002938
4.791,0.352,1.7146e-07,584.5059,55098.624930686
8.8627,0.272,2.1055e-07,883.5512,58729.721947401
36.6704,0.128,1.2868e-06,945.6052,57780.066525354
8.6046,0.096,8.3014e-08,166.4221,60336.201857923
8.5151,0.008,1.1738e-07,449.8111,58271.93825627
3.1116,0.704,1.9812e-07,552.1861,58294.940760522
2.6598,0.832,8.1296e-08,0.0,60154.29357037
2.183,0.512,8.4114e-08,0.0,60942.435403977
5.6756,0.512,2.9162e-07,200.954,59542.104092097
2.5716,1.6,2.3594e-07,879.7875,60367.194619957
1.7067,1.792,8.4661e-08,3047.587,57702.179071049
1.5484,1.024,8.3317e-08,0.0,55368.529356834
1.8546,0.768,1.3481e-07,280.8223,56460.564465857
3.9819,1.088,5.3274e-07,2010.687,59422.410263139
3.3938,0.768,7.9965e-08,247.8842,58874.46587679
1.5994,1.216,1.3427e-07,2676.822,59017.679233742
10.9952,1.152,7.5544e-07,1480.176,58898.317234906
3.803,1.344,3.2757e-07,2715.625,55967.649806494
0.5452,1.344,1.4788e-08,289.6341,59460.021366287
6.1003,0.384,2.167e-07,223632.8,55774.334526453
4.2451,0.256,1.3253e-07,452.5927,59785.563374033
2.7195,0.512,1.832e-07,436.5653,57629.334463458
2.2883,1.28,1.2541e-07,697.2255,56243.806067883
4.2054,1.536,1.7263e-07,0.0,61001.989200178
2.0783,0.832,6.4958e-08,348.0094,59431.001534175
58.776,1.616,6.716e-06,0.0,60838.620330815
0.673,0.896,3.2797e-08,0.0,59736.044081891
6.2012,1.664,1.0124e-06,1409.992,54898.733619204
8.1272,0.256,2.9237e-07,511.4674,56427.056456895
1.9047,1.664,1.0968e-07,0.0,57521.552993112
1.4749,0.128,2.8082e-08,0.0,59518.174758735
